Sala,Edificio
Sala 101,1
Sala 102,1
Sala 103,1
Sala 105,1
Sala 106,1
Sala 107,1
Sala 108,1
Sala 109,1
Sala 110,1
Sala 111,1
Sala 112,1
Sala 113,1
Sala 114,1
Sala 201,1
Sala 202,1
Sala 203,1
Sala 205,1
Sala 206,1
Sala 207,1
Sala 208,1
Sala 209,1
Sala 210,1
Sala 211,1
Sala 212,1
Sala 213,1
Sala 214,1
Sala 215,1
Sala 301,1
Sala 302,1
Sala 303,1
Sala 304,1
Sala 305,1
Sala 306,1
Sala 307,1
Sala 308,1
Sala 309,1
Sala 310,1
Sala 311,1
Sala 312,1
Sala 313,1
Sala 314,1
Sala 315,1
Sala 316,1
Biblioteca,1
Colégio D. Olga de Brito,1
Sala DP,1
Ext Princesa D. Maria Amélia,1
Exterior,1
Percussão 1,1
Percussão 2,1
Sala de Orquestra,1
Sala do Parque,1
Sala de Professores,1
Sala de Reuniões (Cave),1
Salão Nobre,1
ANSA,2
CA,3
CA-EBS1,3
CA-EBS2,3
CA-S1,3
CA-S2,3
CA-S3,3
CA-S4,3
CA-S5,3
CA-S6,3
CA-S7,3
CA-S8,3
Casa das Mudas,3
CL,4
CL-S1,4
CL-S2,4
CL-S3,4
CL-S4,4
CL-S5,4
CL-S6,4
CL-Salão,4
CN,5
CN-S1,5
CN-S2,5
CN-S3,5
CN-S4,5
CN-S5,5
CN-S6,5
CN-S7,5
CN-S8,5
EBLouros 200,6
MC,7
MC-S1,7
MC-S10,7
MC-S11,7
MC-S12,7
MC-S13,7
MC-S2,7
MC-S3,7
MC-S4,7
MC-S5,7
MC-S6,7
MC-S7,7
MC-S8,7
MC-S9,7
On Line,8
TEAMS,8
A1,9
A2,9
A3,9
A4,9
A5,9
A6,9
A7,9
A8,9
A9,9
B1,9
B2,9
B3,9
B4,9
B5,9
B6,9
B7,9
B8,9
C01,9
C02,9
C03,9
C04,9
C05,9
C06,9
C07,9
C08,9
C09,9
C10,9
C11,9
C12,9
C13,9
PL,9
PN-Salão,10
PS,11
PS-AUDITÒRIO JOHN DOS PASSOS,11
PS-S1,11
PS-S2,11
PS-S3,11
PS-S4,11
PS-S5,11
PS-S6,11
PXO,12
PXO-S1,12
PXO-S2,12
PXO-S3,12
PXO-S4,12
PXO-S5,12
RB,13
RB - EBS Padre Manuel Alvares,13
RB 8,13
RB 9,13
RB-BANDA,13
RB-S1,13
RB-S2,13
RB-S3,13
RB-S4,13
RB-S5,13
RB-S6,13
RB-S7,13
RB-S8,13
SM,14
SM 11,14
SM GINÁSIO,14
SM-1,14
SM-10,14
SM-2,14
SM-3,14
SM-4,14
SM-5,14
SM-6,14
SM-7,14
SM-8,14
SM-9,14
SM-D1,14
SM-D2,14
SM-F3,14
SM-SP,14
SM-T1,14
SM-T2,14
Sala 7 - Casa da Cultura,15
Sala 8 - Casa da Cultura,15
ST,15
ST - SE1,15
ST - SE2,15
Sala - ST - SE3,15
ST-S1,15
ST-S2,15
ST-S3,15
ST-S4,15
ST-S5,15
SV,16
SV-S1,16
SV-S2,16
SV-S3,16
SV-S4,16
TMBD,17